doc;Doc bom dona heloisa eu gostaria de saber 
inf;ele se dirigiu ao público mas d e uma maneira ah 
inf;encantadora  extraordinária todo mundo saiu feliz da igreja 
inf;neste ponto eu acho que melhorou demais 
inf;e é o trabalho de evangelização 
inf;que eu estou lendo sempre no jornal que até o Papa está preocupadíssimo com ele 
inf;achando que é uma tarefa dificílima quer dizer que eles estão encontrando dificuldade de toda ordem 
inf;o que está certo porque neste mundo nós estamos vendo tanta coisa que precisa ser consertada quer dizer 
inf;tantas condutas humanas que estão tomando rumos 
inf;absolutamente  errados que eu imagino que a tarefa 
inf;do pastor  hoje  deve ser uma tarefa enorme difícil de ser executada  mas naturalmente que cada um precisa fazendo alguma coisa e aos poucos é que pode conseguir né  
inf;de maneira que em matéria de missa eu posso citar essas da puc que eu acho 
inf;esplêndidas e tive oportunidade de assistir essa do monsenhor benedito que eu também fiquei 
inf;encantada  e eu acho que essa maneira de se dirigir 
inf;aos que estão assistindo à missa é uma 
inf;um bom caminho  para um resultado bastante favorável 
doc;Doc e as igrejas  
doc;a apresentação das igrejas  é a mesma de antigamente  
inf;Inf não  isso nós estamos vendo igrejas completamente diferentes né  
inf;e também eu acho que estão caindo num exagero 
inf;porque  antigamente as igrejas eram  ahn 
inf;muito cheias de imagens  um um ambiente que também  não era 
inf;ahn  tão acolhedor  então começaram a evoluir 
inf;mas temos também igrejas que  a meu ver  não agradam não é  
inf;apesar de  talvez como eu disse seja uma questão pessoal mas  
inf;há igrejas que não  não me causam prazer nenhum entrar nelas 
inf;o ideal  é  o meio termo 
inf;quer dizer  igrejas modernas porque aquelas igrejas antigas 
inf;hoje eu até  me aborreço quando eu vou visitar de ver todo mundo fazendo da igreja um museu 
inf;então desapareceu a religiosidade  todo mundo fica olhe mas que coisa analisando 
inf;as peças  analisando então não é mais um ambiente religioso não é  
inf;é um ambiente artístico  então é a  a peça 
inf;é barroca  é isto é aquilo mas quer dizer que então ninguém está lá dentro com espírito de   religião 
inf;e essas igrejas que são ahn  modernas  mas sem exagero 
inf;ainda tendo suas imagens  eu tenho a impressão que fala mais 
inf;ao coração  do católico  porque o católico se acostumou a isso 
inf;e sente assim  porque esta  ahn  vamos dizer essa questão de   religião assim tão abstrata 
inf;talvez seja justamente porque eu fui criada num ambiente diferente 
inf;quem sabe se essa geração atual 
inf;sendo agora criada nesse ambiente  encontre  conforto nessas igrejas peladas 
inf;vazias  sem nada  apenas é uma casa como qualquer outra 
inf;e  e eu admiro a hipótese deles 
inf;sendo criados aí sentirem  mas eu não sinto esse ambiente de religiosidade 
inf;numa igreja extraordinariamente moderna  eu tenho a impressão que precisa ser um meio termo 
inf;pelo menos pra mim  precisa  
doc;Doc a senhora conhece a igreja de brasília   conhece  
inf;Inf conheço a igreja de brasília 
inf;eu acho  interessante  mas é 
inf;para mim o que eu disse 
inf;não é  a que me provoca religiosidade 
inf;mas é muito bonita  muito curiosa né  
inf;a  achei interessantíssima tive muito prazer em conhecer e aliás já fui lá várias vezes 
inf;de maneira que  conheço bem  
doc;Doc e como é  
doc;como é a o formato a arquitetura da igreja 
inf;Inf bom eu  isto é difícil de responder assim numa entrevista sabe  
inf;eu  é uma coisa que  há muita coisa pra dizer 
inf;muito detalhe  muita observação  é uma igreja completamente diferente de tudo o que se tinha visto até então não é  
inf;mas é  ju  ah 
inf;isto  eu vou repetir o que eu disse a você 
inf;é uma  uma  eu entrei e achei muito curiosa 
inf;achei curiosa a arquitetura o aspecto aquela coisa redonda 
inf;e aquele modo da gente  estar ali pra assistir o o ofício religioso não é  
inf;mas não me provocou nada em matéria de sentimento religioso não 
inf;não consegui nada  
Doc;doc mas há bancos na igreja há bancos  
inf;Inf  não  
doc;Doc não  
inf;Inf não não são não não há 
inf;são  uns blocos assim  para 
inf;algumas pessoas tudo mas não são bancos não 
inf;de maneira que é completamente diferente mas os bancos eu acho que ainda não teriam maior importância 
inf;maior importância é mesmo o ambiente quer dizer 
inf;é como eu disse pode ser que essa geração que está nascendo em brasília e crescendo lá  ache que é uma igreja formidável não é  
inf;agora eu entrei na igreja gostei observei como entro numa 
inf;num prédio qualquer  não é  
inf;mas não senti o ambiente de igreja
